股票代码,股票简称,最新价,最新涨跌幅,涨停[20250324],首次涨停时间[20250324],最终涨停时间[20250324],涨停明细数据[20250324],连续涨停天数[20250324],涨停原因类别[20250324],涨停封单量[20250324],涨停封单额[20250324],涨停封单量占成交量比[20250324],涨停封单量占流通a股比[20250324],涨停开板次数[20250324],a股市值(不含限售股)[20250324],几天几板[20250324],涨停类型[20250324],market_code,code
002300.SZ,太阳电缆,6.96,9.952606635,涨停, 09:25:00, 09:25:00,"[{""code"":""002300.SZ"",""time"":1742779500000,""openTime"":null,""duration"":7956000,""updatedTime"":1742793102000,""firstVol"":1.32898728E8,""highestVol"":1.32898728E8,""firstVolDivLTGB"":0.1840001621875192,""firstVolDivVol"":48.610128,""highestVolDivLTGB"":0.1840001621875192,""highestVolDivVol"":48.610128}]",2,海底电缆+铜加工,49354249,343532021.04,612.5916767393743,6.83369145659507,0,5027034400.000,2天2板,一字涨停||缩量涨停,33,002300
600289.SH,*ST信通,9.64,5.010893246,涨停, 09:30:27, 11:19:06,"[{""code"":""600289.SH"",""time"":1742779827000,""openTime"":1742786223000,""duration"":6393000,""updatedTime"":1742786223000,""firstVol"":113448.0,""highestVol"":5312848.0,""firstVolDivLTGB"":2.0046554627946314E-4,""firstVolDivVol"":0.017726,""highestVolDivLTGB"":0.009387939643006075,""highestVolDivVol"":0.754907},{""code"":""600289.SH"",""time"":1742786346000,""openTime"":null,""duration"":1362000,""updatedTime"":1742793102000,""firstVol"":12442.0,""highestVol"":2808741.0,""firstVolDivLTGB"":2.1985335367825616E-5,""firstVolDivVol"":8.98E-4,""highestVolDivLTGB"":0.004963117894740548,""highestVolDivVol"":0.187707}]",8,撤销规范类退市风险警示+ST板块,2807341,27062767.24,18.77071426380371,0.4960644058579564,1,5455494700.000,44天37板,放量涨停,22,600289
600593.SH,大连圣亚,30.93,9.992887624,涨停, 10:26:15, 10:26:15,"[{""code"":""600593.SH"",""time"":1742783175000,""openTime"":null,""duration"":4545000,""updatedTime"":1742793102000,""firstVol"":1.818402E7,""highestVol"":1.870082E7,""firstVolDivLTGB"":0.14118027950310558,""firstVolDivVol"":1.209667,""highestVolDivLTGB"":0.14519270186335403,""highestVolDivVol"":1.243633}]",1,东北旅游+冰雪产业+大连国资,6298620,194816316.6,37.5703838518367,4.890232919254658,0,3983784000.000,首板涨停,放量涨停,17,600593
002052.SZ,*ST同洲,6.01,5.06993007,涨停, 10:39:30, 10:39:30,"[{""code"":""002052.SZ"",""time"":1742783970000,""openTime"":null,""duration"":3789000,""updatedTime"":1742793102000,""firstVol"":3499992.0,""highestVol"":6791192.0,""firstVolDivLTGB"":0.004691994685636268,""firstVolDivVol"":0.207023,""highestVolDivLTGB"":0.009104088458812344,""highestVolDivVol"":0.38628}]",1,ST板块+第一大股东将变更+退市风险博弈,2889600,17366496,14.80625503577094,0.38737196666776835,0,4483157700.000,14天12板,放量涨停,33,002052
002427.SZ,尤夫股份,4.76,9.930715935,涨停, 09:39:18, 09:39:18,"[{""code"":""002427.SZ"",""time"":1742780358000,""openTime"":null,""duration"":7398000,""updatedTime"":1742793102000,""firstVol"":5.9003701E7,""highestVol"":6.0368314E7,""firstVolDivLTGB"":0.059876297078482,""firstVolDivVol"":1.654498,""highestVolDivLTGB"":0.06126109111682815,""highestVolDivVol"":1.666142}]",2,拒海水聚酯工业丝+客户巨力索具+涤纶工业丝+陕西国资,28724752,136782179.52,70.26122677659488,2.916072033389199,0,4690631000.000,2天2板,放量涨停,33,002427
000601.SZ,韶能股份,5.96,9.963099631,涨停, 09:50:09, 09:55:15,"[{""code"":""000601.SZ"",""time"":1742781009000,""openTime"":1742781306000,""duration"":294000,""updatedTime"":1742781306000,""firstVol"":8.9833095E7,""highestVol"":1.08847295E8,""firstVolDivLTGB"":0.08314337474459445,""firstVolDivVol"":0.816987,""highestVolDivLTGB"":0.10074161908949504,""highestVolDivVol"":0.953121},{""code"":""000601.SZ"",""time"":1742781315000,""openTime"":null,""duration"":6390000,""updatedTime"":1742793102000,""firstVol"":8.6754816E7,""highestVol"":1.058477E8,""firstVolDivLTGB"":0.08029433003044521,""firstVolDivVol"":0.62633,""highestVolDivLTGB"":0.09796539890953784,""highestVolDivVol"":0.756267}]",1,电力+光伏+减速器+年报预增,42500337,253302008.52,28.57406013088875,3.9335408024877165,1,6439541900.000,4天3板,放量涨停,33,000601
000888.SZ,峨眉山A,15.05,10.014619883,涨停, 09:35:12, 09:35:12,"[{""code"":""000888.SZ"",""time"":1742780112000,""openTime"":null,""duration"":7647000,""updatedTime"":1742793102000,""firstVol"":4.0031199E7,""highestVol"":4.0463099E7,""firstVolDivLTGB"":0.0759730567489286,""firstVolDivVol"":2.426914,""highestVolDivLTGB"":0.07679273649946172,""highestVolDivVol"":2.420637}]",1,旅游+冰雪产业+国企,10508374,158151028.7,37.11160561197661,1.9943277098469265,0,7930042200.000,首板涨停,放量涨停,33,000888
002767.SZ,先锋电子,20.03,9.994508512,涨停, 09:25:00, 09:25:00,"[{""code"":""002767.SZ"",""time"":1742779500000,""openTime"":null,""duration"":7986000,""updatedTime"":1742793102000,""firstVol"":7454800.0,""highestVol"":7744800.0,""firstVolDivLTGB"":0.05726430396028966,""firstVolDivVol"":5.12604,""highestVolDivLTGB"":0.05949194898745122,""highestVolDivVol"":2.847144}]",2,机器人+智能燃气表,5912400,118425372,135.98601591609548,4.5416305029620725,0,2607551900.000,2天2板,一字涨停||缩量涨停,33,002767
001202.SZ,炬申股份,20.3,10.027100271,涨停, 09:25:00, 09:25:00,"[{""code"":""001202.SZ"",""time"":1742779500000,""openTime"":null,""duration"":7962000,""updatedTime"":1742793096000,""firstVol"":2.51166E7,""highestVol"":2.51166E7,""firstVolDivLTGB"":0.27771361660934546,""firstVolDivVol"":68.029794,""highestVolDivLTGB"":0.27771361660934546,""highestVolDivVol"":68.029794}]",2,有色金属物流+供应链管理+一带一路,22324749,453192404.7,2205.238005395362,24.684419008487886,0,1835945200.000,2天2板,一字涨停||缩量涨停,33,001202
603949.SH,雪龙集团,23.44,9.995307367,涨停, 10:29:28, 11:01:40,"[{""code"":""603949.SH"",""time"":1742783368000,""openTime"":1742785147000,""duration"":1776000,""updatedTime"":1742785147000,""firstVol"":3060530.0,""highestVol"":7520830.0,""firstVolDivLTGB"":0.014559720323667997,""firstVolDivVol"":0.159039,""highestVolDivLTGB"":0.035778502874290394,""highestVolDivVol"":0.37832},{""code"":""603949.SH"",""time"":1742785180000,""openTime"":1742785192000,""duration"":9000,""updatedTime"":1742785192000,""firstVol"":333040.0,""highestVol"":472600.0,""firstVolDivLTGB"":0.0015843560613992968,""firstVolDivVol"":0.013116,""highestVolDivLTGB"":0.00224827850893979,""highestVolDivVol"":0.018593},{""code"":""603949.SH"",""time"":1742785210000,""openTime"":1742785255000,""duration"":42000,""updatedTime"":1742785255000,""firstVol"":132300.0,""highestVol"":1548700.0,""firstVolDivLTGB"":6.293847793752311E-4,""firstVolDivVol"":0.005159,""highestVolDivLTGB"":0.007367560149799096,""highestVolDivVol"":0.060187},{""code"":""603949.SH"",""time"":1742785264000,""openTime"":1742785291000,""duration"":24000,""updatedTime"":1742785291000,""firstVol"":69000.0,""highestVol"":128800.0,""firstVolDivLTGB"":3.2825056520703665E-4,""firstVolDivVol"":0.002641,""highestVolDivLTGB"":6.127343883864684E-4,""highestVolDivVol"":0.004918},{""code"":""603949.SH"",""time"":1742785300000,""openTime"":null,""duration"":2412000,""updatedTime"":1742793100000,""firstVol"":484860.0,""highestVol"":2171060.0,""firstVolDivLTGB"":0.0023066024499461416,""firstVolDivVol"":0.018406,""highestVolDivLTGB"":0.010328285102875203,""highestVolDivVol"":0.081986}]",5,间接投资宇树科技+汽车热管理,1667420,39084324.8,6.14147167402635,0.7932341412137927,4,4927211600.000,5天5板,地天板涨停||放量涨停,17,603949
