股票代码,股票简称,最新价,最新涨跌幅,涨停[20250324],首次涨停时间[20250324],最终涨停时间[20250324],涨停明细数据[20250324],连续涨停天数[20250324],涨停原因类别[20250324],涨停封单量[20250324],涨停封单额[20250324],涨停封单量占成交量比[20250324],涨停封单量占流通a股比[20250324],涨停开板次数[20250324],a股市值(不含限售股)[20250324],几天几板[20250324],涨停类型[20250324],market_code,code
003039.SZ,顺控发展,14.28,10.01540832,涨停, 09:45:45, 09:45:45,"[{""code"":""003039.SZ"",""time"":1742780745000,""openTime"":null,""duration"":6978000,""updatedTime"":1742793102000,""firstVol"":2.76347E7,""highestVol"":2.97886E7,""firstVolDivLTGB"":0.04475119321481957,""firstVolDivVol"":4.611442,""highestVolDivLTGB"":0.04823918458311378,""highestVolDivVol"":4.780144}]",1,自来水制售+垃圾焚烧发电+国企,11323865,161704792.2,119.80627420368981,1.8337686696563844,0,8818167500.000,首板涨停,放量涨停,33,003039
002141.SZ,*ST贤丰,1.54,4.761904762,涨停, 09:25:00, 09:25:00,"[{""code"":""002141.SZ"",""time"":1742779500000,""openTime"":null,""duration"":8016000,""updatedTime"":1742793096000,""firstVol"":291000.0,""highestVol"":6854300.0,""firstVolDivLTGB"":2.8172128467562316E-4,""firstVolDivVol"":0.144603,""highestVolDivLTGB"":0.0066357463970863366,""highestVolDivVol"":1.245263}]",1,ST板块+收到行政处罚事先告知书+力争摘帽,6804700,10479238,122.74432699592337,0.6587727923822038,0,1590721100.000,首板涨停,一字涨停||缩量涨停,33,002141
002861.SZ,瀛通通讯,15.58,10.028248588,涨停, 09:30:54, 09:30:54,"[{""code"":""002861.SZ"",""time"":1742779854000,""openTime"":null,""duration"":7857000,""updatedTime"":1742793099000,""firstVol"":3.06828E7,""highestVol"":3.531018E7,""firstVolDivLTGB"":0.20432268184341107,""firstVolDivVol"":9.716942,""highestVolDivLTGB"":0.23513729757302387,""highestVolDivVol"":8.681522}]",1,AI终端+电声产品+比亚迪、小米等客户+外销,12576800,195946544,105.26335171809562,8.37513364167616,0,2339622900.000,首板涨停,缩量涨停,33,002861
603280.SH,南方路机,30.8,10,涨停, 09:30:36, 09:30:36,"[{""code"":""603280.SH"",""time"":1742779836000,""openTime"":null,""duration"":7878000,""updatedTime"":1742793102000,""firstVol"":850418.0,""highestVol"":5376518.0,""firstVolDivLTGB"":0.030435478312729157,""firstVolDivVol"":0.183653,""highestVolDivLTGB"":0.19241937139970927,""highestVolDivVol"":1.106056}]",2,海工装备+工程机械+AI分拣机器人,4052140,124805912,75.49023369758979,14.502141192935984,0,860603340.000,2天2板,放量涨停,17,603280
603828.SH,ST柯利达,4.91,4.914529915,涨停, 09:25:02, 09:25:02,"[{""code"":""603828.SH"",""time"":1742779502000,""openTime"":null,""duration"":7929000,""updatedTime"":1742793095000,""firstVol"":3142100.0,""highestVol"":5178970.0,""firstVolDivLTGB"":0.005272513973206598,""firstVolDivVol"":5.490302,""highestVolDivLTGB"":0.00869042732306985,""highestVolDivVol"":1.498879}]",6,ST板块+年报预计扭亏+建筑装饰,4913970,24127592.7,136.44117916552133,0.8245751404766885,0,2926063600.000,8天7板,一字涨停||缩量涨停,22,603828
603908.SH,牧高笛,27.32,9.98389694,涨停, 09:42:56, 09:42:56,"[{""code"":""603908.SH"",""time"":1742780576000,""openTime"":null,""duration"":7143000,""updatedTime"":1742793098000,""firstVol"":6514080.0,""highestVol"":1.16241E7,""firstVolDivLTGB"":0.06976929503245292,""firstVolDivVol"":2.781608,""highestVolDivLTGB"":0.12450035344772187,""highestVolDivVol"":4.872978}]",1,户外装备+体育产业+电商,2885039,78819265.48,53.877493014228506,3.090031703189598,0,2550759100.000,首板涨停,放量涨停,17,603908
605081.SH,太和水,11.39,10.048309179,涨停, 10:07:02, 10:07:02,"[{""code"":""605081.SH"",""time"":1742782022000,""openTime"":null,""duration"":5685000,""updatedTime"":1742793098000,""firstVol"":1.6104101E7,""highestVol"":1.6104101E7,""firstVolDivLTGB"":0.14220324389490618,""firstVolDivVol"":4.432743,""highestVolDivLTGB"":0.14220324389490618,""highestVolDivVol"":4.432743}]",1,算力+污水处理+饮用水,7101172,80882349.08,134.75944759263513,6.270512671621215,0,1289884150.000,首板涨停,放量涨停,17,605081
603359.SH,东珠生态,7.9,10.027855153,涨停, 09:31:14, 09:31:44,"[{""code"":""603359.SH"",""time"":1742779874000,""openTime"":1742779892000,""duration"":15000,""updatedTime"":1742779892000,""firstVol"":1.4388796E7,""highestVol"":1.6556896E7,""firstVolDivLTGB"":0.03225493167389979,""firstVolDivVol"":0.464098,""highestVolDivLTGB"":0.03711509630214124,""highestVolDivVol"":0.529926},{""code"":""603359.SH"",""time"":1742779904000,""openTime"":null,""duration"":7803000,""updatedTime"":1742793101000,""firstVol"":6551443.0,""highestVol"":2.1846611E7,""firstVolDivLTGB"":0.014686172931386967,""firstVolDivVol"":0.146921,""highestVolDivLTGB"":0.048972891485240845,""highestVolDivVol"":0.451326}]",4,参股迪洛斯10%股权+AI初创公司,12842860,101458594,20.66847132192191,2.8789453391198307,1,3524158400.000,4天4板,放量涨停,17,603359
600320.SH,振华重工,5.41,9.959349593,涨停, 09:25:02, 09:25:02,"[{""code"":""600320.SH"",""time"":1742779502000,""openTime"":null,""duration"":7929000,""updatedTime"":1742793101000,""firstVol"":2.28637818E8,""highestVol"":2.28637818E8,""firstVolDivLTGB"":0.06882540005497012,""firstVolDivVol"":24.421685,""highestVolDivLTGB"":0.06882540005497012,""highestVolDivVol"":24.421685}]",3,海工装备+港口+央企,76145696,411948215.36,134.67245586389146,2.2921658523106347,0,17972007000.000,3天3板,一字涨停||放量涨停,17,600320
002391.SZ,长青股份,5.74,9.961685824,涨停, 10:38:12, 10:38:12,"[{""code"":""002391.SZ"",""time"":1742783892000,""openTime"":null,""duration"":3870000,""updatedTime"":1742793102000,""firstVol"":7.2037587E7,""highestVol"":7.2037587E7,""firstVolDivLTGB"":0.15521300767527962,""firstVolDivVol"":2.638477,""highestVolDivLTGB"":0.15521300767527962,""highestVolDivVol"":2.638477}]",1,农药+沿江新厂区将陆续全面投产+外销,26276189,150833360.86,76.01223203410589,5.661799336983404,0,2664053500.000,首板涨停,放量涨停,33,002391
